from	10oct	arroyo	boyeros	centrohab	cerro	cotorro	guanabac	habeste	habvieja	lalisa	marianao	playa	plaza	regla	sanmiguel	Total
10oct	503	61	37	49	74	35	25	20	72	13	25	64	75	24	44	1121.0
arroyo	66	682	117	39	39	21	14	31	51	16	26	45	72	11	37	1267.0
boyeros	37	117	497	40	53	12	12	21	32	35	50	40	73	11	19	1049.0
centrohab	51	40	41	542	70	9	14	54	110	26	43	58	151	20	31	1260.0
cerro	73	41	50	70	259	11	21	21	49	17	38	40	91	18	35	834.0
cotorro	34	20	16	8	12	306	7	8	16	8	7	9	24	7	37	519.0
guanabac	24	12	12	15	21	7	391	60	27	5	6	13	23	27	38	681.0
habeste	15	26	21	55	22	10	61	498	66	6	19	35	76	38	27	975.0
habvieja	79	52	34	107	45	14	24	68	271	25	34	55	88	31	38	965.0
lalisa	11	12	34	26	20	9	5	7	27	203	71	80	47	9	9	570.0
marianao	25	26	51	44	33	6	5	17	30	76	291	118	68	12	10	812.0
playa	54	46	40	58	44	9	13	26	50	86	120	768	202	9	28	1553.0
plaza	71	66	79	139	92	22	27	70	98	48	70	188	561	20	38	1589.0
regla	23	12	7	24	16	8	30	41	35	11	15	9	19	222	20	492.0
sanmiguel	44	34	24	29	36	40	34	23	40	10	11	25	41	20	217	628.0
Total	1110.0	1247.0	1060.0	1245.0	836.0	519.0	683.0	965.0	974.0	585.0	826.0	1547.0	1611.0	479.0	628.0	14315.0
