from	10oct	arroyo	boyeros	centrohab	cerro	cotorro	guanabac	habeste	habvieja	lalisa	marianao	playa	plaza	regla	sanmiguel	Total
10oct	1038	66	258	75	160	48	26	7	29	4	553	115	471	13	36	2899.0
arroyo	249	1298	927	109	105	94	9	8	22	12	456	154	330	11	9	3793.0
boyeros	94	173	2741	43	105	18	4	5	4	16	667	98	344	1	1	4314.0
centrohab	75	5	216	390	228	24	28	42	34	4	184	238	486	15	11	1980.0
cerro	80	23	233	99	460	10	13	1	20	4	301	218	546	5	4	2017.0
cotorro	61	48	62	4	4	743	15	4	8	1	132	56	73	2	22	1235.0
guanabac	97	22	54	15	24	31	1996	349	14	4	162	60	134	183	129	3274.0
habeste	117	6	99	95	28	34	336	851	35	5	302	73	334	150	110	2575.0
habvieja	38	2	90	102	133	11	19	34	64	0	83	138	260	32	12	1018.0
lalisa	23	9	366	12	7	20	5	1	3	889	645	639	343	2	2	2966.0
marianao	43	2	178	12	23	19	2	0	7	152	1539	427	308	0	4	2716.0
playa	45	6	125	21	31	20	8	2	12	87	750	1210	532	3	2	2854.0
plaza	49	5	73	44	42	11	15	2	6	4	546	319	856	4	1	1977.0
regla	28	6	21	8	1	5	100	84	8	1	58	20	55	153	59	607.0
sanmiguel	256	80	95	51	43	440	115	116	25	5	223	79	300	184	1243	3255.0
Total	2293.0	1751.0	5538.0	1080.0	1394.0	1528.0	2691.0	1506.0	291.0	1188.0	6601.0	3844.0	5372.0	758.0	1645.0	37480.0
